key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,numDescendants,lastCrawled,lastInterpreted,issues,class,group,basionymKey,basionym,publishedIn
5279840,5279840.0,13243150,gbif:5279840,158312708.0,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis armata,6,106,342.0,664,4891,2668852,5279840.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,763a8aa3-65de-443e-bd20-bbe958a1ef74,2668852,Asparagopsis,Asparagopsis armata Harv.,Asparagopsis armata,Harpoon weed,Harv.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:07.954+00:00,[],Florideophyceae,Asparagopsis spp.,,,
5279839,5279839.0,38468827,gbif:5279839,176752258.0,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis svedelii,6,106,342.0,664,4891,2668852,5279839.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,19491596-35ae-4a91-9a98-85cf505f1bd3,2668852,Asparagopsis,Asparagopsis svedelii W.R.Taylor,Asparagopsis svedelii,,W.R.Taylor,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:07.937+00:00,[],Florideophyceae,Asparagopsis spp.,,,
5279834,5279834.0,1049432,gbif:5279834,158312707.0,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis,6,106,342.0,664,4891,2668852,5279834.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,763a8aa3-65de-443e-bd20-bbe958a1ef74,2668852,Asparagopsis,Asparagopsis taxiformis (Delile) Trevis.,Asparagopsis taxiformis,,(Delile) Trevis.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:07.970+00:00,[],Florideophyceae,Asparagopsis spp.,,,
10327454,10327454.0,30663838,gbif:10327454,158209870.0,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,,6,106,342.0,664,4891,2668852,,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,4cec8fef-f129-4966-89b7-4f8439aba058,2668852,Asparagopsis,BOLD:AAF6415,,,,OTU,UNRANKED,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:07.927+00:00,[],Florideophyceae,Asparagopsis spp.,,,
9960813,9960813.0,30663837,gbif:9960813,158209873.0,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,,6,106,342.0,664,4891,2668852,,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,4cec8fef-f129-4966-89b7-4f8439aba058,2668852,Asparagopsis,BOLD:AAO6510,,,,OTU,UNRANKED,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:07.934+00:00,[],Florideophyceae,Asparagopsis spp.,,,
7754167,7754167.0,127273762,gbif:7754167,160001092.0,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,Chlorella chlorelloides,6,36,332.0,1359,4852,2638467,7754167.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,de8934f4-a136-481c-a87a-b0b202b80a31,2638467,Chlorella,"Chlorella chlorelloides (Naumann) C.Bock, L.Krienitz & T.Pröschold",Chlorella chlorelloides,,"(Naumann) C.Bock, L.Krienitz & T.Pröschold",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.061+00:00,['ORIGINAL_NAME_DERIVED'],Trebouxiophyceae,Chlorella sp.,2642002.0,Brachionococcus chlorelloides Naumann,
5707630,5707630.0,2400049,gbif:5707630,102309763.0,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,Chlorella conductrix,6,36,332.0,1359,4852,2638467,5707630.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,9ca92552-f23a-41a8-a140-01abaa31c931,2638467,Chlorella,Chlorella conductrix (Brandt) Beijerinck,Chlorella conductrix,,(Brandt) Beijerinck,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,4,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.128+00:00,['ORIGINAL_NAME_DERIVED'],Trebouxiophyceae,Chlorella sp.,12124657.0,? conductrix Brandt,
8053116,8053116.0,30644163,gbif:8053116,160001202.0,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,Chlorella elongata,6,36,332.0,1359,4852,2638467,8053116.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,de8934f4-a136-481c-a87a-b0b202b80a31,2638467,Chlorella,Chlorella elongata (Hindák) C.Bock et al.,Chlorella elongata,,(Hindák) C.Bock et al.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.041+00:00,['ORIGINAL_NAME_DERIVED'],Trebouxiophyceae,Chlorella sp.,2642009.0,Dictyosphaerium elongatum Hindák,
5270951,5270951.0,41151272,gbif:5270951,180024581.0,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,Chlorella emersonii,6,36,332.0,1359,4852,2638467,5270951.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,dbaa27eb-29e7-4cbb-8eab-3f689cfce116,2638467,Chlorella,Chlorella emersonii Shihira & Krauss,Chlorella emersonii,,Shihira & Krauss,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.089+00:00,[],Trebouxiophyceae,Chlorella sp.,,,
9322040,9322040.0,15427952,gbif:9322040,131973881.0,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,Chlorella faginea,6,36,332.0,1359,4852,2638467,9322040.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1ec61203-14fa-4fbd-8ee5-a4a80257b45a,2638467,Chlorella,Chlorella faginea Hsu,Chlorella faginea,,Hsu,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.184+00:00,[],Trebouxiophyceae,Chlorella sp.,,,
