usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,class,group,acceptedUsageKey,synonym,note
2663815.0,Ahnfeltia plicata (Huds.) Fr.,Ahnfeltia plicata,SPECIES,ACCEPTED,99,EXACT,Plantae,Rhodophyta,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,Ahnfeltia plicata,6.0,106.0,342.0,662.0,8965.0,2663808.0,2663815.0,Florideophyceae,Ahnfeltia plicata,,,
5422592.0,Alaria esculenta (L.) Grev.,Alaria esculenta,SPECIES,ACCEPTED,99,EXACT,Chromista,Ochrophyta,Laminariales,Alariaceae,Alaria,Alaria esculenta,4.0,98.0,7073593.0,560.0,7734.0,3196122.0,5422592.0,Phaeophyceae,Alaria esculenta,,,
6539336.0,"Alaria pylaiei (Bory) Greville, 1830",Alaria pylaiei,SPECIES,ACCEPTED,99,EXACT,Chromista,Ochrophyta,Laminariales,Alariaceae,Alaria,Alaria pylaiei,4.0,98.0,7073593.0,560.0,7734.0,3196122.0,6539336.0,Phaeophyceae,Alaria pylaiei,,,
7699695.0,"Alsidium helminthochorton (Schwendimann) Kütz., 1843",Alsidium helminthochorton,SPECIES,ACCEPTED,99,EXACT,Plantae,Rhodophyta,Ceramiales,Rhodomelaceae,Alsidium,Alsidium helminthochorton,6.0,106.0,342.0,665.0,4895.0,2660343.0,7699695.0,Florideophyceae,Alsidium helminthochorton,,,
7690242.0,Aphanizomenon flos-aquae (L.) Ralfs,Aphanizomenon flos-aquae,SPECIES,SYNONYM,98,EXACT,Bacteria,Cyanobacteria,Cyanobacteriales,Aphanizomenonaceae,Aphanizomenon,Aphanizomenon flosaquae,3.0,68.0,10774316.0,10793096.0,8324212.0,3219149.0,3219153.0,Cyanobacteriia,Aphanizomenon flos-aquae,3219153.0,,
3218398.0,"Arthrospira fusiformis (Voronichin) Komárek & J.W.G.Lund, 1990",Arthrospira fusiformis,SPECIES,SYNONYM,98,EXACT,Bacteria,Cyanobacteria,Cyanobacteriales,Microcoleaceae,Limnospira,Limnospira fusiformis,3.0,68.0,10774316.0,10793096.0,7941427.0,10589433.0,10749950.0,Cyanobacteriia,Arthrospira fusiformis,10749950.0,,
8534034.0,Arthrospira major (Kütz. ex Gomont) W.B.Crow,Arthrospira major,SPECIES,SYNONYM,98,EXACT,Bacteria,Cyanobacteria,Cyanobacteriales,Spirulinaceae,Spirulina,Spirulina major,3.0,68.0,10774316.0,10793096.0,3237676.0,8996763.0,5716008.0,Cyanobacteriia,Arthrospira major,5716008.0,,
3218096.0,"Arthrospira maxima Setchell & N.L.Gardner, 1917",Arthrospira maxima,SPECIES,ACCEPTED,99,EXACT,Bacteria,Cyanobacteria,Cyanobacteriales,Microcoleaceae,Arthrospira,Arthrospira maxima,3.0,68.0,10774316.0,10793096.0,7941427.0,3218397.0,3218096.0,Cyanobacteriia,Arthrospira maxima,,,
3218108.0,Arthrospira platensis Gomont,Arthrospira platensis,SPECIES,ACCEPTED,99,EXACT,Bacteria,Cyanobacteria,Cyanobacteriales,Microcoleaceae,Arthrospira,Arthrospira platensis,3.0,68.0,10774316.0,10793096.0,7941427.0,3218397.0,3218108.0,Cyanobacteriia,Arthrospira platensis,,,
3196524.0,Ascophyllum nodosum (L.) Le Jol.,Ascophyllum nodosum,SPECIES,ACCEPTED,98,EXACT,Chromista,Ochrophyta,Fucales,Fucaceae,Ascophyllum,Ascophyllum nodosum,4.0,98.0,7073593.0,1182.0,9641.0,3196523.0,3196524.0,Phaeophyceae,Ascophyllum nodosum,,,
5279834.0,Asparagopsis taxiformis (Delile) Trevis.,Asparagopsis taxiformis,SPECIES,ACCEPTED,99,EXACT,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis,6.0,106.0,342.0,664.0,4891.0,2668852.0,5279834.0,Florideophyceae,Asparagopsis taxiformis,,,
3199064.0,Asperococcus fistulosus (Huds.) Hook.,Asperococcus fistulosus,SPECIES,ACCEPTED,99,EXACT,Chromista,Ochrophyta,Ectocarpales,Chordariaceae,Asperococcus,Asperococcus fistulosus,4.0,98.0,7073593.0,1181.0,7727.0,8032107.0,3199064.0,Phaeophyceae,Asperococcus fistulosus,,,
2638448.0,Auxenochlorella protothecoides (W.Krüger) Kalina & Punčoch.,Auxenochlorella protothecoides,SPECIES,ACCEPTED,99,EXACT,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella protothecoides,6.0,36.0,332.0,1359.0,4852.0,2638447.0,2638448.0,Trebouxiophyceae,Auxenochlorella protothecoides,,,
9421491.0,Auxenochlorella pyrenoidosa (H.Chick) Molinari & Calvo-Pérez,Auxenochlorella pyrenoidosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Chlorophyta,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella pyrenoidosa,6.0,36.0,332.0,1359.0,4852.0,2638447.0,9421491.0,Trebouxiophyceae,Auxenochlorella pyrenoidosa,,,
3197821.0,Bifurcaria bifurcata R.Ross,Bifurcaria bifurcata,SPECIES,ACCEPTED,99,EXACT,Chromista,Ochrophyta,Fucales,Sargassaceae,Bifurcaria,Bifurcaria bifurcata,4.0,98.0,7073593.0,1182.0,7733.0,3197820.0,3197821.0,Phaeophyceae,Bifurcaria bifurcata,,,
2668875.0,Bonnemaisonia asparagoides (Woodward) C.Agardh,Bonnemaisonia asparagoides,SPECIES,ACCEPTED,99,EXACT,Plantae,Rhodophyta,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,Bonnemaisonia asparagoides,6.0,106.0,342.0,664.0,4891.0,2668873.0,2668875.0,Florideophyceae,Bonnemaisonia asparagoides,,,
5272029.0,Bryopsis plumosa (Huds.) C.Agardh,Bryopsis plumosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Chlorophyta,Bryopsidales,Bryopsidaceae,Bryopsis,Bryopsis plumosa,6.0,36.0,195.0,625.0,8774.0,2642534.0,5272029.0,Ulvophyceae,Bryopsis plumosa,,,
