,Scientific Name,Common name,Division,Micro/Macro,Color,Water type (marine/fresh/brackish/terrestrial),Geographic Positioning within Europe,Habitat,Invasive?,"Invasive information (where, how, strategies, etc.)",Water temperature for growth (C),Optimal water temperature for growth (C),Salinity for growth (PSU),Depth range (m),Is the algae facing changes with rising sea temp?,Unnamed: 15,Temperature tolerance,Thickness/size,Status (impacted by humans?),Already on the market?,Listed in EU Novel Food Catalogue,Food supplement at Union list of Novel Foods,"production cost (high or low and what does that mean, laborintensive, complex processing)",Can it be grown in a polyculture?,Where/how is it grown? lab/farm/wild,Growth rate + specify if in wild or cultivation (can be in terms of biomass yield) ,Harvesting/collection methods,Time of Harvest (incl # times a year),processing/extraction methods,Country (that uses the algae),Region in europe,Seaboard,Nutritional Profile,take up,of meavy metals (Y/N),Companies using the algae + their product,Industrial applications,Extracts,Agriculture,Art materials + cosmetics,Packaging + materials,Environment,Carrier of other organisms?,Human consumption,Medicinal,Risks + dangers,usage within agriculture + products,medicinal,Flavor/Diet,medicinal/health,Flavor/Diet.1,other,Additional properties,Unnamed: 53,Synonyms,Genus,Species
0,Ahnfeltia plicata,"landlady's wig, black scour weed",Rhodophyta,Macro,red,marine,"north atlantic ocean, common on the coasts of the british isles","shallow sublittoral bedrock and in rockpools on the lower shore, often partly buried by sand",no,,-15 to 7 °C,11 °C,15-35,0 to 14 m,,,,,,,,,,,,,,,,Russia,,,,,,,,agar,,,,,,,,,,,,,,,,,,Ahnfeltia,plicata
1,Alaria esculenta,"Winged kelp, dabberlocks; Irish: Láir, Láracha, Sraoilleach",Phaeophyta,Macro,brown,marine,"Norway, Svalbard, Atlantic France, Channel Islands, Britain, Ireland, Netherlands, Heligoland, Baltic coasts, and Iceland","Grown on European coasts where water is cold and there is severe wave exposure, exposed rocks",no,,4 to 15 °C,,28 to 34.5,3 to 10 m,Yes,grows in cold water,relatively tolerant and adaptable to temp and UV radiation (+salinity). New source: max temp of species within genus 18C,"2-3 meters in length, with a rib down the middle and leaves grow up to 7cm on either side of rib",increasing temps are reducing its available area to grow (North Sea + English channel waters too warm in summer - exceed 16C),yes,yes,,,yes,mainly aquaculture (16 EU comapanies),high growth rate compared to other algaes (1-5cm per day),can be hand harvested,between April + June,"Extraction of alginates from winged kelp to be sued as emulsifiers/industrial gums which are used for soaps, shampoo/conditioner, body wraps, makeup, creams, gels, and other cosmetic products.","Greenland, Iceland, Scotland, Ireland",Northern Europe,North Atlantic,"Vitamin A, K, C, and various B vitamins as well as important minerals like magnesium, iron, potassium, iodine, and others. High in dietary and soluble fiber.",,,,,Agar,,"emulsifier (soaps...), extract used in anti-aging treatments",,,,"sweet, umami flavor; contains: E400 – alginic acid, E401 – sodium alginate, E402 – Potassium alginate, E403 – Ammonium alginate, E404 – Calcium alginate, E405- Propylene glycol alginate (PGA) for thickening/gel/stabilizing","boosts immune system, fights breast + colon cancer (fucoxanthin), improved cardiovascular health, New source: Rich in nutrients which assist metabolism, bone development, the growth of healthy blood cells. Chlorophyll has been shown to decrease pancreatitis. can decrease the severity of a herpes outbreak. Can also lower bloodpressure.",,"emulsifier (soaps...), Agar","boosts immune system, fights breast + colon cancer (fucoxanthin), improved cardiovascular health, (1) Rich in nutrients which assist metabolism, bone development, the growth of healthy blood cells. Chlorophyll has been shown to decrease pancreatitis. can decrease the severity of a herpes outbreak. Can also lower bloodpressure.","sweet, umami flavor",,,,,,,Alaria,esculenta
2,Alaria pylaiei,,Phaeophyta,Macro,brown,marine,"greenland, iceland",rock in mid to low intertidal from semi-protected to exposed habitats,no,,,,,,,,,,,yes,,,,,,,,,,"Eaten by Icelanders, Inuit (Canada), Ammassalik Is (Greenland), Alaska Indians, and Siberia",,,,,,,,,,,,,,,,,,,,,,,,,,Alaria,pylaiei
3,Alaria spp.,,Phaeophyta,Macro,brown,marine,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaria,
4,Alsidium helminthochorton,corsican moss,Rhodophyta,Macro,red,marine,"Turkey, Croatia, France, Greece, Italy, Monaco, Slovenia, Spain",grows on rock in sheltered areas,No,,-20 to 15 °C,,35-38,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alsidium,helminthochorton
5,Aphanizomenon flos-aquae,Klamatj,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,freshwater,Baltic sea,Aphanizomenon flos-aquae filaments tend to clump and form rafts. Clumps of this alga can form crescent shaped flakes that may be visible at the water's surface. Habitat: Aphanizomenon is common in freshwater lakes and coastal estuarine rivers with low salinities.,no,,,-29 to 23 °C,0-2,,yes,"invader cyanobacteria species--specifically, those that come from tropical waters--can outgrow native species when the water warms. This research paper investigated potential outcomes for cyanobacteria populations with global warming and showed that invader/potentially invasive species could become dominant",,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,"aphantoxin, aphanotoxinii, saxitoxins",used in cosmetics,,"used in carbonated and alcoholic beverages (no cell wall makes them easily digestable), dietary supplements",,,Note: it seems A. flos-aquae was part of a large bloom in Lake Balaton in Hungary due to warm climate,,,,Aphanizomenon,flos-aquae
6,Arthrospira fusiformis,spirulina,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,freshwater,Slovenia (as of 2010),saline-alkaline habitats,"not native, no information on invasiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anatoxin-a, microcystins",,,,,,,,,,Arthrospira,fusiformis
7,Arthrospira major,,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,"marine, freshwater",,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthrospira,major
8,Arthrospira maxima,,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,brackish,,"shallow, alkaline water in tropical areas","not native, no information on invasiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limnospira maxima,Spirulina maxima",Arthrospira,maxima
9,Arthrospira platensis,spirulina,Cyanobacteria,Cyanobacterium/Spirulina,blue-green,"marine, freshwater",,"shallow, alkaline water in tropical areas",no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"Pondtech extracts phycocyanin from A. platensis; Booster Juice includes spirulina in their wilderness booster add-on; IGV PlantTech uses as a food supplement, fine chemicals, and animal feed",biofuels,ethanol extracts,,ethanol extracts used for antityrosinase activity for skin whitening,,,,,,,,,,,,,,,,Arthrospira,platensis
