Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
4 Season Company,Australia,"Applications,Farming & harvesting",https://fourseasonco.com.au/,Ulva sp.,Wild harvesting,Feed,,,,,,$0,
7 Fathoms Seaweed Skin Care,Canada,Applications,https://www.7fathomsseaweedskincare.ca/,Laminaria digitata,,Personal care,,,,2020,,$0,
12 Tides (failed),USA,Applications,,,,Food,Snacks and seasoning,Katapult Ocean,,2019,checked,$0,Failed / Zombie
A-Culture,Australia,Farming & harvesting,https://a-culture.com.au/,Asparagopsis sp.,"Aquaculture,IMTA,Onshore",Feed,Livestock methane reduction,,,,,$0,
Abagold,South Africa,Farming & harvesting,https://www.abagold.com/,"Ulva sp.,Gracilaria sp.","Aquaculture,IMTA,Onshore",Feed,,,,,,$0,
Abakus Foods (now Emily/Nurture Brands),UK,Applications,,,,Food,Snacks and seasoning,,,2016,checked,$0,Acquired / Merged
Abaplas,Mexico,Applications,http://abaplas.com/,Sargassum sp.,,Bioplastics / biomaterials,,,,,,$0,
Aber Actives,France,Processing,https://www.aberactives.com/,,,,Biorefinery,,,2022,checked,$0,Research / product development
Abrimar,UK,Lab analysis,https://www.linkedin.com/in/abrimar-ltd-40a250226/,,,,,,,2020,,$0,
Abundigro (Ukelp),Netherlands,Applications,https://www.ukelp.com/,Ecklonia maxima,,Plant & soil nutrition,,,,2021,checked,$0,Validation / Traction
Acadian Seaplants,Canada,"Farming & harvesting,Applications",https://www.acadianseaplants.com/,"Ascophyllum nodosum,Chondrus crispus,Palmaria sp.","Aquaculture,Onshore,Wild harvesting","Plant & soil nutrition,Feed,Food,Nutraceuticals",,,,1981,checked,$0,Mature / Public
Acuisur,Peru,"Conservation & restoration,Farming & harvesting,Applications",http://acuisurperu.com/,,"Aquaculture,Wild harvesting","Food,Nutraceuticals",,,,2010,,$0,
Additive.earth,UK,,https://additive.earth/,,,,,,,2023,,$0,
AEP Colloids,USA,Applications,https://www.aepcolloids.com/,,,Hydrocolloids,"Agar,Alginate,Carrageenan",,,,,$0,
Afrakari,South Africa,Applications,https://www.afrakari.co.za/,,,Personal care,,,,,,$0,
Africa Seaweed Ventures,Nigeria,Farming & harvesting,https://africaseaweedventures.com/,,,,,,,2023,checked,$0,Research / product development
Afrikelp (Taurus Kelp / Compo),South Africa,Applications,https://afrikelp.com/,"Ecklonia maxima,Gelidium sp.",,"Plant & soil nutrition,Feed",,,,1971,checked,$0,Scale-up / Industrialisation
Afro Nature Co.,Tanzania,Applications,https://afronature.co.tz/,Eucheuma denticulatum,,"Nutraceuticals,Personal care",,Elevate Blue,,2023,checked,$0,Pilot / Demonstration
Agar del Pacifico,Chile,Applications,https://www.agarpac.com/,,,Hydrocolloids,Agar,,,,,$0,
Agar Sari Jaya,Indonesia,Applications,https://www.agarsarijaya.com/,,,Hydrocolloids,Agar,,,1998,,$0,
Agar Swallow,Indonesia,Applications,https://agarswallow.com/,,,Hydrocolloids,Agar,,,,,$0,
Agargel,Brazil,"Farming & harvesting,Applications",https://agargel.com.br/,,Wild harvesting,Hydrocolloids,Agar,,,,,$0,
Agarindo Bogatama,Indonesia,Applications,https://www.indonesiaseaweed.com/company/agarindo-bogatama/,,,Hydrocolloids,Agar,,,,,$0,
Agarka,Indonesia,Farming & harvesting,https://www.instagram.com/agarkarimun/,Kappaphycus alvarezii,,,,,,,,$0,
Agarmex,Mexico,Applications,https://www.agarmex.com/,,,Hydrocolloids,"Agar,Carrageenan",,,,,$0,
Agoprene,Norway,Applications,https://www.agoprene.com/,,,Bioplastics / biomaterials,Foams,BioInnovation Institute,,2020,checked,"$560,000",Pilot / Demonstration
Agrabah Ventures,Philippines,Farming & harvesting,https://agrabah.ph/,Kappaphycus alvarezii,"Aquaculture,Nearshore",,,,,,,$0,
Agriges,Italy,Applications,https://www.agriges.com/,Ascophyllum nodosum,,Plant & soil nutrition,,,,,,$0,
Agrimer,France,"Farming & harvesting,Applications",https://www.agrimer.com/en/agriculture/,"Ascophyllum nodosum,Chondrus crispus,Fucus sp.,Laminaria digitata,Ulva lactuca",Wild harvesting,"Personal care,Plant & soil nutrition,Food,Feed",Livestock feed,,,,,$0,
Agrisea,New Zealand,Farming & harvesting,https://agrisea.co.nz/,Ecklonia radiata,Wild harvesting,"Plant & soil nutrition,Feed","Bee feed,Livestock feed,Drink",,,1996,checked,$0,Scale-up / Industrialisation
Agromar,Philippines,Distribution,https://www.facebook.com/AGROMARENTERPRISESPH/,"Kappaphycus alvarezii,Eucheuma denticulatum",,,,Meloy Fund,,,,$0,
Aiko Farms,Saint Lucia,"Farming & harvesting,Applications",https://www.facebook.com/aikofarms758/,,,Nutraceuticals,,,,,,$0,
Aird Fada Seaweed Farm,UK,Farming & harvesting,https://swmid.co.uk/our-projects/aird-fada-seaweed-farm/,Saccharina latissima,Aquaculture,,,,,2021,,$0,
Akki Foods,Japan,Applications,https://akkifoods.co.jp/corporate/index.html,Sargassum sp.,,"Pharmaceuticals,Food",Fucoidans,,,,,$0,
Akua (failed),USA,Applications,https://akua.co/,,,Food,Meat substitute,"Republic,Sea Ahead,MassChallenge,Crowdfunding,Alumni Ventures Group,Fifth Down Capital,Halogen Ventures,Karmagawa,Pegasus Capital Advisors,Vibrant Ventures",,2017,checked,"$4,545,000",Failed / Zombie
Alaria AS / Seaweed AS,Norway,Farming & harvesting,https://www.seaweedfromnorway.no/,"Alaria esculenta,Laminaria sp.",Wild harvesting,Food,,,,,,$0,
Alaska Fisheries Development Foundation,USA,Multi-stakeholder platform,https://afdf.org/research-and-development/alaska-mariculture-initiative,,,,,,Growing the industry,,,$0,
Alaska Ocean Farms,USA,"Farming & harvesting,Breeding & propagation",,,,,,,,2017,,$0,
Alaska Shellfish Farms,USA,Farming & harvesting,https://www.alaskashellfish.net/,,Aquaculture,,,,,,,$0,
Alaska's Best Shellfish,USA,Farming & harvesting,https://www.alaskasbestshellfish.com/,"Saccharina latissima,Alaria marginata",Aquaculture,,,,,,,$0,
Alaskan Sea Greens,USA,Farming & harvesting,,Saccharina latissima,Aquaculture,,,,,,,$0,
Alg Seaweed,Australia,Applications,https://algseaweed.com/,,,Food,Snacks and seasoning,Seedlab Australia,,2017,checked,$0,Validation / Traction
Alga Biosciences,USA,"Farming & harvesting,Applications",https://www.alga.bio/,Asparagopsis taxiformis,Aquaculture,Feed,Livestock methane reduction,"Y Combinator,Collaborative Fund,Overview Capital,Cool Climate Collective,Pioneer Fund,Day One Ventures,BBQ Capital,Rebel Fund",,2021,checked,"$4,000,000",Research / product development
Alga Seaweed (prev. Redrose Developments),Ireland,"Farming & harvesting,Infrastructure & equipment",https://algaseaweedltd.com/,"Saccharina latissima,Ascophyllum nodosum,Laminaria digitata,Fucus serratus,Fucus vesiculosus","Aquaculture,Wild harvesting",,,"Blue Bio Value,EIT Climate-KIC,Angel investors (various),Morten Kroslid",,2014,checked,$0,Research / product development
Alga Ulisse,Italy,,https://www.algaulisse.it/en,,,,,,,,,$0,
Algabase,Spain,Applications,http://www.algabase.com/,Ulva sp.,,Personal care,,,,2014,,$0,
Algabrava,Spain,"Farming & harvesting,Breeding & propagation",https://algabrava.com/,"Ulva lactuca,Ulva intestinalis,Codium vermilara,Cystoseira sp.,Dasya spp.","Aquaculture,Nearshore,Onshore,IMTA",,,,,2019,,$0,
Algae Scope,Italy,"Farming & harvesting,Applications",https://www.algae-scope.com/,,Aquaculture,Bioplastics / biomaterials,,,,2024,,$0,
Algae Sumba Timur Lestari,Indonesia,Applications,https://id1365183554zlhe.fm.alibaba.com/company_profile.html,"Kappaphycus alvarezii,Eucheuma denticulatum",,Hydrocolloids,Carrageenan,,,,,$0,
Algaebra,Sweden,Distribution,https://www.algaebra.eu/,,,,,,,2024,checked,$0,Research / product development
AlgaeCal,USA,Farming & harvesting,https://www.algaecal.com/,Lithotamnium superpositum,,,,,,,,$0,
Algaemech,Netherlands,Infrastructure & equipment,http://algaemech.com/,,,,,,,,,$0,
Algaia,France,Applications,https://www.algaia.com/,"Laminaria digitata,Laminaria hyperborea,Ascophyllum nodosum,Lessonia trabeculata,Macrocystis sp.",Wild harvesting,"Plant & soil nutrition,Hydrocolloids","Alginate,Carrageenan","Maabarot,Demeter Partners,Supernova Invest,SAPEC,JRS",,2016,checked,"$2,600,000",Scale-up / Industrialisation
Algalindo Perdana,Indonesia,Applications,https://algalindoperdana.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Algamar Espana,Spain,"Farming & harvesting,Applications",https://algamar.com/en/,"Gelidium sesquipedale,Himanthalia sp.,Laminaria sp.,Palmaria sp.,Porphyra sp.,Undaria sp.",Wild harvesting,"Hydrocolloids,Food",Agar,,,,,$0,
Algamar Mexico (Alamarsa S.A. de C.V.),Mexico,"Farming & harvesting,Applications",,"Macrocystis pyrifera,Ecklonia sp.",Wild harvesting,"Plant & soil nutrition,Personal care,Feed,Nutraceuticals","Aquafeed,Livestock feed",Ocean Rainforest,,2009,,$0,
Alganex,Germany,Distribution,https://alganex.com/,,,,,Rockstart Agrifood,,2020,checked,$0,Validation / Traction
Algapelago,UK,"Farming & harvesting,Applications",https://www.algapelago.com/,Saccharina latissima,"Aquaculture,IMTA","Feed,Plant & soil nutrition",,,,2022,checked,$0,Pilot / Demonstration
ALGAplus Lda,Portugal,Farming & harvesting,https://www.algaplus.pt/,"Codium tomentosum,Gracilaria gracilis,Palmaria palmata,Porphyra dioica,Porphyra umbilicalis,Ulva rigida","Aquaculture,Onshore",,,SAPEC,,2012,checked,$0,Validation / Traction
AlgAran,Ireland,"Farming & harvesting,Applications",https://www.seaweedproducts.ie/,"Alaria esculenta,Chondrus crispus,Himanthalia elongata,Laminaria digitata,Palmaria palmata,Porphyra umbilicalis,Ulva sp.",Wild harvesting,"Food,Personal care",,,,2004,,$0,
Algas Chile,Chile,Farming & harvesting,https://www.algaschile.com/,"Macrocystis pyrifera,Chondracanthus chamissoi,Lessonia sp.",Aquaculture,,,,,2014,,$0,
Algas de Asturias,Spain,Farming & harvesting,http://organicseafarmers.com/,Saccharina latissima,Aquaculture,,,,,,,$0,
Algas de Penha,Brazil,Applications,https://algasdepenha.com/,Kappaphycus alvarezii,,Plant & soil nutrition,,,,,,$0,
